Quality,Angle,Distance
31,124.0625,6481.75
30,124.0625,6576.75
2,124.015625,7744.25
4,124.015625,7829.75
10,124.09375,8129.25
57,124.0625,8326.25
32,124.0625,8423.75
57,124.0625,8618.75
42,124.0625,8705.25
29,124.0625,8802.25
45,124.0625,9633.75
48,124.0625,9727.75
52,124.0625,9861.75
57,124.0625,9954.25
0,124.0625,10051.25
7,124.03125,368.75
22,124.125,1742.25
46,124.125,1835.25
47,124.125,2018.25
44,124.046875,2416.75
21,4.046875,2927.75
50,124.046875,3278.25
27,124.046875,3608.75
33,124.046875,3694.25
8,4.03125,4412.75
62,124.453125,4914.25
12,124.453125,5053.25
53,124.53125,5237.75
20,124.546875,5423.75
24,124.0625,5769.75
10,124.0625,5861.25
5,124.0625,5908.75
47,124.0625,6150.25
42,124.0625,6193.25
40,124.0625,6244.25
39,124.0625,6284.25
34,124.0625,6378.75
31,124.0625,6472.25
30,124.0625,6566.25
29,124.0625,6611.75
30,124.0625,6705.25
31,124.0625,6749.25
32,124.0625,6866.25
53,124.03125,6954.75
49,124.03125,7019.25
1,124.015625,7705.75
2,124.015625,7751.75
3,124.015625,7798.25
59,124.078125,8166.25
42,124.078125,8223.75
60,124.0625,8318.25
23,124.0625,8464.25
13,124.0625,8514.75
58,124.0625,8606.25
36,124.0625,8744.75
30,124.0625,8794.75
25,124.0625,8845.25
46,4.0625,9657.25
47,124.0625,9720.25
49,124.0625,9766.25
50,124.0625,9811.25
54,124.0625,9904.25
63,124.0625,10040.75
8,124.0625,10130.75
17,4.0625,10401.25
43,4.03125,10587.75
29,124.03125,105.25
8,124.03125,361.75
6,124.03125,384.25
32,124.125,1780.75
46,124.125,1828.75
58,124.125,1872.75
8,124.125,1918.25
25,124.125,1960.75
19,124.140625,2100.75
40,124.140625,2145.75
0,4.140625,2409.25
20,124.046875,2390.25
56,124.046875,3177.75
50,124.046875,3215.75
48,124.046875,3273.75
16,124.046875,3416.25
14,124.046875,3511.25
30,124.046875,3642.25
33,124.046875,3684.25
34,124.046875,3733.75
37,124.046875,3848.25
27,124.484375,5135.75
50,124.53125,5227.75
3,124.546875,5413.75
26,124.0625,5764.25
18,124.0625,5810.25
11,124.0625,5856.75
59,124.0625,6000.75
55,124.0625,6046.25
52,124.0625,6090.25
45,124.0625,6188.25
42,124.0625,6233.25
40,124.0625,6282.75
38,124.0625,6328.75
35,124.0625,6369.75
31,124.0625,6470.25
30,124.0625,6702.25
45,124.03125,7150.75
13,4.046875,7475.75
3,124.015625,7652.25
2,124.015625,7698.75
4,124.015625,7845.75
62,124.078125,8159.75
48,124.0625,8359.75
14,124.0625,8502.25
4,124.0625,8552.25
59,124.0625,8600.75
37,124.0625,8744.75
13,124.046875,3464.25
37,124.046875,3834.75
55,124.453125,4855.25
19,124.484375,5134.25
12,124.0625,5852.25
55,124.0625,6042.25
42,124.0625,6232.25
38,124.0625,6322.25
54,124.03125,6940.75
46,124.03125,7144.75
1,124.015625,7693.25
0,124.09375,8156.75
36,124.0625,8407.75
14,124.0625,8506.25
44,124.0625,8692.75
31,124.0625,8791.75
11,124.0625,8975.25
4,124.0625,9065.75
45,124.0625,9614.75
47,124.0625,9711.75
50,124.0625,9802.25
